college_name,college_type,college_estd,college_rating,college_img_url,college_location,college_contactNumber
"The Great Eastern Institute of Maritime Studies - [GEIMS ], Pune",nothing,"IMU, Chennai",9.2,https://images.collegedunia.com/public/college_data/images/appImage/16576_Great EasternCover.jpg?w=1286&h=193&mode=stretch,"54-56, Tungarli Village, Opposite lagoona Resort, Next to Perfect Engineering Works 
 Pune - 410403 
 Maharashtra ,    India",02114-270167
"Indian Institute of Tropical Meteorology - [IITM], Pune",nothing,"SPPU, Pune",8.4,https://images.collegedunia.com/public/college_data/images/appImage/16605_IITM_New.jpg?w=1286&h=193&mode=stretch,"Dr. Homi Bhabha Road, Pashan 
 Pune - 411008 
 Maharashtra ,    India","020-25904200  ,    25904203"
"Symbiosis Institute of Geoinformatics, Pune",NAAC Grade A,"SIU, Pune",7.1,https://images.collegedunia.com/public/college_data/images/appImage/16947_sym_new.jpg?w=1286&h=193&mode=stretch,"5th Floor, Atur Center, Gokhale Cross Road, Model Colony 
 Pune - 411016 
 Maharashtra ,    India","020-25672841  ,    25672843"
"Abacus Institute of Computer Applications - [AICA] Hadapsar, Pune",Private,Estd 2007,5.4,https://images.collegedunia.com/public/college_data/images/appImage/17049_abacus_new.jpg?w=1286&h=193&mode=stretch,"S.No 58, Indrayani Nagar, Handewadi Road, Hadapsar 
 Pune - 411028 
 Maharashtra ,    India","020-60202828  ,    26970888  ,    26970912"
"MIT School of Distance Education - [MITSDE], Pune",distance education,Estd 2005,8.4,https://images.collegedunia.com/public/college_data/images/appImage/18370_About_us14_960x279.jpg?w=1286&h=193&mode=stretch,"MIT Campus, Pune, S.No.124, Ex-Servicemen Colony, Paud Road, Kothrud, 
 Pune - 411038 
 Maharashtra ,    India",09112-207207
"Magarpatta City Institute of Management and Technology, Pune",Private,Estd 2010,nothing,https://images.collegedunia.com/public/college_data/images/appImage/18397_MARGPATTA_APP.jpg?w=1286&h=193&mode=stretch,"Survey No.130, Plot No.MP4, Opp. Megameals. Near West Gate, Magarpatta City, Hadapsar 
 Pune - 411028 
 Maharashtra ,    India","020-26898586  ,    26899596"
"MCE Society's Junior College of Education, Pune",nothing,Estd 2003,nothing,https://images.collegedunia.com/public/college_data/images/appImage/21265_MCES_APP.jpg?w=1286&h=193&mode=stretch,"2390 / B - K. B. Hidayatullah Road, New Modikhana, Azam Campus 
 Pune - 411001 
 Maharashtra ,    India",0202-6445370
"Chandrashekhar Agashe College of Physical Education - [CACPE], Pune",nothing,Private Institute,nothing,https://images.collegedunia.com/public/college_data/images/appImage/21364_CACPE_APP.jpg?w=1286&h=193&mode=stretch,"Opp. Tilak Maharshtra Vidyapeeth Nagar, Gultekdi 
 Pune - 411037 
 Maharashtra ,    India",020-24261872
"Pratibha College of Education, Pune",Private,Estd 2007,8.8,https://images.collegedunia.com/public/college_data/images/appImage/21867_PCEP_APP.jpg?w=1286&h=193&mode=stretch,"Block No. D-III, Plot No.3 Behind Mehta Hospital 
 Pune - 411019 
 Maharashtra ,    India","020-30690509  ,    30690511"
"Smt. Kashibai Navale College of Education & Training -    [SKNCOET], Pune",Private,Estd 2006,5.5,https://images.collegedunia.com/public/college_data/images/appImage/22942_SKNCETR_APP.jpg?w=1286&h=193&mode=stretch,"Gate No. 309/310, Kusgaon Budruk, Off Mumbai-Pune Expressway, Taluka Mawal 
 Pune - 410401 
 Maharashtra ,    India",02114-304369
"Sunderji Teacher's Training Institute, Pune",nothing,Estd 2001,nothing,https://images.collegedunia.com/public/college_data/images/placeholder_300X223.png,"Bldg. No. 8, Vrindavan Society, Behind Mira Society, Off Shankarsheth Road Pune, Maharashtra,  
 Pune - 411037 
 Maharashtra ,    India -  411037","020- 26451425  ,    26456611"
"Swami Vivekanad College of Education Wakad, Pune",nothing,"SPPU, Pune",7.2,https://images.collegedunia.com/public/college_data/images/appImage/23326_SVCEP_APP.jpg?w=1286&h=193&mode=stretch,"Mumbai Banglore Highway Crossing, Survey No. 130, Wakad 
 Pune - 411057 
 Maharashtra ,    India","020-22934719  ,    22934720  ,    22934737"
"Vidya Pratishthan's Adhyapak Vidyalaya, Pune",nothing,Estd 2008,nothing,https://images.collegedunia.com/public/college_data/images/appImage/23589_VPAVDED_APP.jpg?w=1286&h=193&mode=stretch,"Vidya Nagari, MIDC, Baramati 
 Pune - 413133 
 Maharashtra ,    India",02112-243476
"Vidya Pratishthans College of Education Baramati, Pune",nothing,"SPPU, Pune",nothing,https://images.collegedunia.com/public/college_data/images/appImage/23590_VPCEPUNE_APP.jpg?w=1286&h=193&mode=stretch,"vidyanagari, M.I.D.C., Baramati 
 Pune - 413133 
 Maharashtra ,    India",02112-243762
"Dr DY Patil Institute of Master of Computer Applications Akurdi, Pune",Private,Estd 2002,6.2,https://images.collegedunia.com/public/college_data/images/appImage/23988_1447914558DY_New.jpg?w=1286&h=193&mode=stretch,"Dr. D. Y. Patil Educational Complex, Sector 29, Nigadi Pradhikaran 
 Pune - 411044 
 Maharashtra ,    India","020-27640998  ,    20273793"
"ASM's Institute of Computer Studies - [ICS], Pune",Private,Estd 2008,nothing,https://images.collegedunia.com/public/college_data/images/appImage/24097_ICS_New.jpg?w=1286&h=193&mode=stretch,"Pimpri 
 Pune - 411018 
 Maharashtra ,    India",020-27475090
"Microcomm Infotech, Pune",nothing,"YCMOU, Nashik",nothing,https://images.collegedunia.com/public/college_data/images/appImage/24215_MI_New.jpg?w=1286&h=193&mode=stretch,"1, Pushpa Heights, Vanaz Corner, Paud Raod, Kothrud, Above Union Bank of  
 Pune - 411038 
 Maharashtra ,    India",020-25391235
"Vishwakarma Maritime Institute - [VMI], Pune",Private,Estd 2009,8.0,https://images.collegedunia.com/public/college_data/images/appImage/24616_VMI_New.jpg?w=1286&h=193&mode=stretch,"Survey No. 2, Kondhawa Budrk 
 Pune - 411048 
 Maharashtra ,    India","0206-4785715  ,    4785716"
"Zeal Institute of Management and Computer Application - [ZIMCA] Narhe, Pune",Private,Estd 2009,7.1,https://images.collegedunia.com/public/college_data/images/appImage/24638_89.jpg?w=1286&h=193&mode=stretch,"S.No. 39, Dhayari Road, Narhe 
 Pune - 411041 
 Maharashtra ,    India","020-67206041  ,    Toll Free No. -  18002672667"
"Deccan College Post Graduate and Research Institute, Pune",nothing,Deemed to be University,8.5,https://images.collegedunia.com/public/college_data/images/appImage/25692_DCPGRI_NEW.jpg?w=1286&h=193&mode=stretch,"Yerawada 
 Pune - 411006 
 Maharashtra ,    India","020-26513200  ,    26513207"
"Gokhale Institute of Politics and Economics - [GIPE], Pune",NAAC,Estd 1930,7.9,https://images.collegedunia.com/public/college_data/images/appImage/25700_GIPE_NEW.jpg?w=1286&h=193&mode=stretch,"BMCC Road, Deccan Gymkhana, 
 Pune - 411004 
 Maharashtra ,    India","020-25650287  ,    25654288  ,    25654289  ,    25675008"
"National Institute of Abiotic Stress Management - [NIASM], Pune",nothing,Estd 2009,8.8,https://images.collegedunia.com/public/college_data/images/appImage/25715_NIASM_NEW.jpg?w=1286&h=193&mode=stretch,"Malegaon, Baramati 
 Pune - 413115 
 Maharashtra ,    India","0211-2254057  ,    2254058"
"Chandmal Tarachand Bora Arts, Commerce & Science College Shirur, Pune",NAAC Grade A,"SPPU, Pune",8.5,https://images.collegedunia.com/public/college_data/images/appImage/45056_building.jpg?w=1286&h=193&mode=stretch,"Pune Nagar Highway, Shirur 
 Pune - 412210 
 Maharashtra ,    India","02138-222301  ,    224170  ,    224688"
"Annasaheb Waghire College of Science, Arts & Commerce Otur, Pune",Private,Estd 1970,8.5,https://images.collegedunia.com/public/college_data/images/appImage/45949_AWC_New.jpg?w=1286&h=193&mode=stretch,"Otur, Junnar 
 Pune - 412409 
 Maharashtra ,    India",02132-265728
"Bharati Vidyapeeth School of Photography, Pune",NAAC,"BVDU, Pune",7.3,https://images.collegedunia.com/public/college_data/images/placeholder_300X223.png,"Opp. Katraj Dairy, Pune-Satara Road, Dhankawadi, 
 Pune - 411046 
 Maharashtra ,    India",020-2436 5191
"Indian Statistical Institute - [ISI], Pune",nothing,Estd 2004,nothing,https://images.collegedunia.com/public/college_data/images/appImage/46016_ISIHY_APP.jpg?w=1286&h=193&mode=stretch,"""Vishwavidya"", B-9, B-Wing, 3rd Floor, MHADA Bulding, Near Gandhi Bhavan, Survey Number 36, Kothrud 
 Pune - 411038 
 Maharashtra ,    India",020-25386844
"ISAS International Beauty School - [ISAS], Pune",nothing,Estd 2004,8.3,https://images.collegedunia.com/public/college_data/images/appImage/46022_ISAS_APP.jpg?w=1286&h=193&mode=stretch,"1st, 2nd & 3rd Floor, The Greens, North Main Road, Koregoan Park 
 Pune - 411001 
 Maharashtra ,    India",020260616
"Dr. D. Y. Patil Vidyapeeth Institute of Distance Learning - [DPU IDL], Pune",distance education,"DPU, Pune",nothing,https://images.collegedunia.com/public/college_data/images/appImage/15023665071474016817dpunewbuilding.jpg?w=1286&h=193&mode=stretch,"Pimpri, Sant Tukaram Nagar, Bhosari 
 Pune - 411018 
 Maharashtra ,    India","020-27805665  ,    27805685  ,    27805666"
"AISSMS College of Pharmacy - [AISSMS COP], Pune",Private,Estd 1996,8.5,https://images.collegedunia.com/public/college_data/images/appImage/159628048720191212.jpg?w=1286&h=193&mode=stretch,"RB Motilal Kennedy Rd, Near RTO, Railway Officers Colony, Sangamvadi 
 Pune - 411001 
 Maharashtra ,    India",020-26058204
"Haribhai V. Desai College of Commerce, Arts and Science, Pune",NAAC Grade A,"SPPU, Pune",6.6,https://images.collegedunia.com/public/college_data/images/appImage/56857_jf.png?w=1286&h=193&mode=stretch,"596, Budhwar Peth, Behind Shaniwar Wada, Near Sakal Office 
 Pune - 411002 
 Maharashtra ,    India","020-24450373  ,    24455423"
"Institute of Industrial & Computer Management And Research - [IICMR], Pune",Private,Estd 2002,8.9,https://images.collegedunia.com/public/college_data/images/appImage/1501671065cover.png?w=1286&h=193&mode=stretch,"Pradhikaran campus HS-2, Sector 27A , Behind Tukaram Garden, Pradhikaran, Nigdi 
 Pune - 411044 
 Maharashtra ,    India","020-27657648  ,    27650011"
"Tilak Maharashtra Vidyapeeth, Directorate of Distance Education - [DDE], Pune",Public,Estd 1985,8.6,https://images.collegedunia.com/public/college_data/images/appImage/56919_app image tilak 1.png?w=1286&h=193&mode=stretch,"Gultekadi 
 Pune - 411037 
 Maharashtra ,    India","Admission Cell -  020-24266700  ,    Principal -  24403046"
"College of Agriculture and Allied Sciences, Pune",Private,Estd 2003,8.7,https://images.collegedunia.com/public/college_data/images/appImage/56932_Untitled.1png.png?w=1286&h=193&mode=stretch,"Sharadanagar, Nira-Baramati Rd 
 Pune - 413102 
 Maharashtra ,    India",02112-255518
"MIT Art, Design and Technology University - [MITADT], Pune",NAAC,Estd 2015,7.8,https://images.collegedunia.com/public/college_data/images/appImage/57115_1474612534img2.jpg?w=1286&h=193&mode=stretch,"Raj Baugh Campus, Loni Kalbhor, Solapur Highway, Near Bharat Petrol Pump , Loni Kalbhor Railway station 
 Pune - 412201 
 Maharashtra ,    India","020-26912901  ,    26912902  ,    26912903"
"MIT School of Film and Television - [MITSFT], Pune",Private,Estd 2017,6.8,https://images.collegedunia.com/public/college_data/images/appImage/_1437474077phpaaGsFU.jpeg?w=1286&h=193&mode=stretch,"Rajbaug Educational Complex, Loni-Kalbhor,Taluka-Haveli 
 Pune - 412201 
 Maharashtra ,    India",020-30693825
"Bharati Vidyapeeth University Center for Health Management Studies & Research, Pune",nothing,"BVDU, Pune",8.0,https://images.collegedunia.com/public/college_data/images/appImage/57284_54.jpg?w=1286&h=193&mode=stretch,"2nd floor, Physical Education Building, Satara Road, Dhanakwadi Campus 
 Pune - 411043 
 Maharashtra ,    India","020-64703435  ,    24375918"
"Ajeenkya DY Patil University, School of Film and Media, Pune",nothing,"ADYPU, Pune",nothing,https://images.collegedunia.com/public/college_data/images/appImage/_app image dy patil.jpg?w=1286&h=193&mode=stretch,"Charoli Bk.via Lohegaon 
 Pune - 412105 
 Maharashtra ,    India",020-67077943
"RIIM - Arihant Group of Institutes - [RIIM], Pune",Private,Estd 2015,8.4,https://images.collegedunia.com/public/college_data/images/appImage/57373_20.jpg?w=1286&h=193&mode=stretch,"Behind Crystal Honda Showroom, Uttam Nagar, Bhunde Vasti, Bavdhan, 
 Pune - 411021 
 Maharashtra ,    India","Admission -  020-65700000  ,    Placement Cell -  60220000"
"DSRF Institute of Computer Science & Management Studies - [DSRF] , Pune",nothing,"SPPU, Pune",6.9,https://images.collegedunia.com/public/college_data/images/appImage/1501935894147670286912.jpg?w=1286&h=193&mode=stretch,"Plot No. P-1, Survey No. 15, Behind IT Tower, Kharadi Knowledge Park, Kharadi 
 Pune - 411014 
 Maharashtra ,    India",020-27012726
"Sinhgad Institute Of Management And Computer Application - [SIMCA] Narhe, Pune",NAAC Grade A,"SPPU, Pune",7.4,https://images.collegedunia.com/public/college_data/images/appImage/_Simcacover.jpg?w=1286&h=193&mode=stretch,"S.No. 49/1, Off Westerly By-Pass, Pune-Bangalore Expressway, Narhe 
 Pune - 411041 
 Maharashtra ,    India","020-66831896  ,    66831907"
"Vishwakarma College of Arts, Commerce & Science - [VCACS], Pune",NAAC,"SPPU, Pune",7.2,https://images.collegedunia.com/public/college_data/images/appImage/_1444213430CRETIVEIPUNE)NEW.jpg?w=1286&h=193&mode=stretch,"S. No. 3, 6 Kondhwa Budruk 
 Pune - 411048 
 Maharashtra ,    India","020-65004747  ,    60204040"
"Symbiosis College of Nursing - [SCON], Pune",NAAC Grade A,"SIU, Pune",8.0,https://images.collegedunia.com/public/college_data/images/appImage/_sconlogo.jpg?w=1286&h=193&mode=stretch,"Senapati Bapat Road 
 Pune - 411004 
 Maharashtra ,    India","020-25671907  ,    25652444"
"Tuljaram Chaturchand College of Arts, Science & Commerce - [TCC], Pune",NAAC Grade A+,"SPPU, Pune",7.7,https://images.collegedunia.com/public/college_data/images/appImage/_pic-2(cover).jpg?w=1286&h=193&mode=stretch,"TC College Rd, Vivekanand Nagar, Baramati, 
 Pune - 413102 
 Maharashtra ,    India","02112-222405  ,    223635"
"Indian Institute of Science Education and Research - [IISER], Pune",Ranked 25 for Overall by NIRF 2020,Estd 2006,8.3,https://images.collegedunia.com/public/college_data/images/appImage/57516_11.jpg?w=1286&h=193&mode=stretch,"Dr. Homi Bhabha Road, Pashan 
 Pune - 411008 
 Maharashtra ,    India",Admission Cell -  020-2590 8000
"Maeer's Maharashtra Institute of Pharmacy - [MIP], Pune",Private,Estd 1997,8.8,https://images.collegedunia.com/public/college_data/images/appImage/_e2n1ytggjhnyk2ehartl.jpg?w=1286&h=193&mode=stretch,"S.No. 124, MIT Campus Paud Road, 
Kothrud 
 Pune - 411038 
 Maharashtra ,    India","020-3027365  ,    30273673"
"Sir Parashurambhau College, Pune",NAAC Grade A,"SPPU, Pune",8.1,https://images.collegedunia.com/public/college_data/images/appImage/57618_cover.jpg?w=1286&h=193&mode=stretch,"Tilak Road, Sadashiv Peth, 
 Pune - 411030 
 Maharashtra ,    India","020-24331978  ,    24332479"
"SMFRI's Vamanrao Ithape Homeopathic Medical College & Hospital, Pune",Private,Estd 1994,nothing,https://images.collegedunia.com/public/college_data/images/appImage/_maha.jpg?w=1286&h=193&mode=stretch,"Dr. Ithape Hospital, New Nagar Road, Sangamner, Ahmednagar District, Sangamner 
 Pune - 422605 
 Maharashtra ,    India",02425-224864
"Suryadatta Group of Institutes Bavdhan, Pune",Private,Estd 1999,7.9,https://images.collegedunia.com/public/college_data/images/appImage/1586667133BannerStateofart.jpg?w=1286&h=193&mode=stretch,"""Saraswati"", S.No.342, Bavdhan 
 Pune - 411021 
 Maharashtra ,    India","Help Desk -  8956932402  ,    8956932418  ,    8956932400  ,    7776072000"
"Bharati Vidyapeeth Deemed University, School of Distance Education - [BVDU SDE], Pune",Private,Estd 1996,8.3,https://images.collegedunia.com/public/college_data/images/appImage/1500636755gvxhnbm.png?w=1286&h=193&mode=stretch,"BVDU, Bharati Vidyapeeth Bhavan, 6th Floor, L.B.S Marg 
 Pune - 411030 
 Maharashtra ,    India","Office -  020-24325520  ,    24325509  ,    24325510"
"UEI Global, Pune",Ranked 46 for Hotel Management by The Week 2020,Private,6.2,https://images.collegedunia.com/public/college_data/images/appImage/1491226092AppNew.jpg?w=1286&h=193&mode=stretch,"Plot No-823C, Bhamburda, Nr Corporation Bus Stand, Shivaji Nagar 
 Pune - 411005 
 Maharashtra ,    India",020 - 44151515
"Interdisciplinary School of Scientific Computing - [ISSC], Pune",Public,Estd 1994,9.2,https://images.collegedunia.com/public/college_data/images/appImage/1486384154cover..jpg?w=1286&h=193&mode=stretch,"P.O. Box 27,Ganeshkhind 
 Pune - 411007 
 Maharashtra ,    India","020-25691978  ,    25601156"
"Nowrosjee Wadia College, Pune",NAAC Grade A,"SPPU, Pune",8.2,https://images.collegedunia.com/public/college_data/images/appImage/1486972897cvr.png?w=1286&h=193&mode=stretch,"19 Late Prin V.K. Joag Path 
 Pune - 411001 
 Maharashtra ,    India","020-26162944  ,    26169382  ,    Principal Telefax -  26169108"
"Pratibha College of Commerce & Computer Studies- [PCCCS], Pune",NAAC,"SPPU, Pune",8.1,https://images.collegedunia.com/public/college_data/images/appImage/1487077836APPIMAGE.png?w=1286&h=193&mode=stretch,"Block D-III, Plot No. 3, Behind Mehta Hospital,
Off. Mumbai-Pune Road, Chinchwad 
 Pune - 411019 
 Maharashtra ,    India","8600100942  ,    8600100945"
"Sinhgad Institute of Pharmaceutical Sciences- [SIPS], Pune",Private,Estd 2004,7.9,https://images.collegedunia.com/public/college_data/images/appImage/1487229086cvr.png?w=1286&h=193&mode=stretch,"309/310 Kusgaon (BK), Off. Mumbai-Pune Expressway Lonavala, Tal. Maval 
 Pune - 410401 
 Maharashtra ,    India","0211 - 4304324  ,    4304322  ,    4304330"
"Smt. Laxmibai Radhakisan Toshniwal College of Commerce Akola, Pune",NAAC Grade A,"SGBAU, Amravati",7.7,https://images.collegedunia.com/public/college_data/images/appImage/1487664046cvr.png?w=1286&h=193&mode=stretch,"Ratanlal Plots, Akola 
 Pune - 444001 
 Maharashtra ,    India",0724-2400197
"RJSPM's Institute of Computer and Management Research, Pune",Private,Estd 2000,9.0,https://images.collegedunia.com/public/college_data/images/appImage/1491564877camffffffffffffffffffffffffffffffffffffffffffff.png?w=1286&h=193&mode=stretch,"Gat No. 101-102, Moshi-Alandi Road 
 Pune - 412105 
 Maharashtra ,    India",020-20280280
"ENIAC Institute of Computer Application - [EICA], Pune",Private,Estd 2007,nothing,https://images.collegedunia.com/public/college_data/images/appImage/1493360933cacvgsdhkfl.jpg?w=1286&h=193&mode=stretch,"Gat No. 720 (1 & 2), Pune – Nagar Highway, Wagholi, Tal- Haveli 
 Pune - 412207 
 Maharashtra ,    India","020-65101860  ,    67335105"
"Manikchand Dhariwal Institute of Management and Rural Technology - [MDIMRT], Pune",Private,Estd 1987,nothing,https://images.collegedunia.com/public/college_data/images/appImage/1493365515cccccccccccccccccccccccccccccccccc.png?w=1286&h=193&mode=stretch,"C.T. Bora College Campus, Pune-Nagar Highway, Shirur (Ghodnadi) 
 Pune - 412210 
 Maharashtra ,    India","02138-224678  ,    224669"
"Siddhant Institute of Computer Application - [SICA], Pune",Private,Estd 2005,8.3,https://images.collegedunia.com/public/college_data/images/appImage/1493374111ccccccccccccccccccccccccccccccds.jpg?w=1286&h=193&mode=stretch,"Talegaon - Chakan Road, A/P-Sudumbare, Tal-Maval 
 Pune - 412109 
 Maharashtra ,    India","02114-661936  ,    661992  ,    661991"
"Dr. D. Y. Patil Law College, Pune",Private,Estd 2001,6.2,https://images.collegedunia.com/public/college_data/images/appImage/1493632865scvdjhngsfdkjhsfljkskhfdljksnf.png?w=1286&h=193&mode=stretch,"Behind YCM hospital, Sant Tukaram Nagar, Pimpri 
 Pune - 411018 
 Maharashtra ,    India","020-65300388  ,    27421095  ,    27421096  ,    27421097"
"PDEA's Law College Hadapsar, Pune",Private,Estd 2002,nothing,https://images.collegedunia.com/public/college_data/images/appImage/1493707923ccccccccccccccccccccc.png?w=1286&h=193&mode=stretch,"Hadapsar 
 Pune - 411028 
 Maharashtra ,    India","020-26990135  ,    26990136"
"Yashwantrao Chavan Law College - [YCLC], Pune",Public,Estd 1978,8.0,https://images.collegedunia.com/public/college_data/images/appImage/14949168561702184018590483076718083164506108198518967n.jpg?w=1286&h=193&mode=stretch,"Parvati Ramana 
 Pune - 411009 
 Maharashtra ,    India","020-24221002  ,    65202191"
"ISB&M College Of Commerce, Pune",Private,Estd 2009,nothing,https://images.collegedunia.com/public/college_data/images/appImage/1501829813cover.jpg?w=1286&h=193&mode=stretch,"S.No 44/1, 44/1/2 , Nande Village, Ahead of Pashan Sus Road 
 Pune - 412115 
 Maharashtra ,    India","020-25754707  ,    25754706"
"Hutatma Rajguru Shikshan Prasarak Mandal’s Law College Rajgurunagar, Pune",Private,Estd 2007,nothing,https://images.collegedunia.com/public/college_data/images/appImage/14950879361477041557VpU1SCAslgfhLb9YeRFa2.png?w=1286&h=193&mode=stretch,"Near Government Rest House, (Dak Banglow) Pune Nashik Highway, Rajgurunagar, Tal-Khed 
 Pune - 410505 
 Maharashtra ,    India","02135-288660  ,    224400"
"Vidya Pratishthan's Vasantrao Pawar Law College, Pune",Public,Estd 1999,nothing,https://images.collegedunia.com/public/college_data/images/appImage/1495177747ffffffffffffffffffffffffff.png?w=1286&h=193&mode=stretch,"Vidyanagari, Baramati  
 Pune - 413133 
 Maharashtra ,    India","02112-243341  ,    239191  ,    239192  ,    239193"
"SNBP Law College, Pune",Private,Estd 2009,8.5,https://images.collegedunia.com/public/college_data/images/appImage/1495188034sd.png?w=1286&h=193&mode=stretch,"Sant Dnyaneshwar Nagar, Mhada Colony, Morwadi, Pimpri 
 Pune - 411018 
 Maharashtra ,    India",020-27488628
"Aayojan School of Architecture and Design - [ASAD], Pune",Private,Estd 2012,5.7,https://images.collegedunia.com/public/college_data/images/appImage/1497525681dddddddddddddddddddddddddddddddddddddd.jpg?w=1286&h=193&mode=stretch,"Gat No. 289, Village Warawadi, Taluka - Puranda 
 Pune - 412301 
 Maharashtra ,    India","9423001021  ,    9422340577"
"Indira College of Architecture and Design - [ICAD], Pune",Private,Estd 2015,8.7,https://images.collegedunia.com/public/college_data/images/appImage/1497592260vvvvvvvvvdfd.png?w=1286&h=193&mode=stretch,"S.No- 64, 65, Gate no- 276, Parandwadi, Near Somatne phata, Tal – Maval 
 Pune - 410506 
 Maharashtra ,    India",020-65600318
"Trinity College of Architecture - [TCOA], Pune",Private,Estd 2015,9.3,https://images.collegedunia.com/public/college_data/images/appImage/1497598692KP549bad9a0d2a0.jpeg?w=1286&h=193&mode=stretch,"Near Khadimachine Chowk, Kondhwa Annexe 
 Pune - 411048 
 Maharashtra ,    India",020-65269009
"Anantrao Pawar College of Architecture - [APCOA], Pune",Private,Estd 2014,8.9,https://images.collegedunia.com/public/college_data/images/appImage/1498028614dsd.png?w=1286&h=193&mode=stretch,"S. No. 103, Parvati 
 Pune - 411009 
 Maharashtra ,    India","020-24213301  ,    24219901"
"S.B. Patil College of Architecture and Design - [SBPCOAD], Pune",Private,Estd 2014,9.0,https://images.collegedunia.com/public/college_data/images/appImage/1498037238cccavbsdh.jpg?w=1286&h=193&mode=stretch,"Sector 26, Pradhikaran, Nigdi (Near Akurdi Railway Station)  
 Pune - 411044 
 Maharashtra ,    India",020-65220023
"SMEF’s Brick School of Architecture, Pune",Private,Estd 2013,8.7,https://images.collegedunia.com/public/college_data/images/appImage/1498117472ccccccc.jpg?w=1286&h=193&mode=stretch,"Survey No. 50 / 3, Undri 
 Pune - 411060 
 Maharashtra ,    India",020-60123700
"Rajarshi Shahu College of Pharmacy and Research - [RSCPR], Pune",Private,Estd 2006,9.5,https://images.collegedunia.com/public/college_data/images/appImage/1498648708sd.png?w=1286&h=193&mode=stretch,"Survey No. 80, Pune-Mumbai Bypass Highway, (Katraj Dehu road Highway) Tathawade 
 Pune - 411033 
 Maharashtra ,    India","020-64102126  ,    22933424"
"Dattakala College of Pharmacy - [DKCOP], Pune",Private,Estd 2014,8.7,https://images.collegedunia.com/public/college_data/images/appImage/1498820551vsdmnmjnsel.png?w=1286&h=193&mode=stretch,"At Gate No:541/2, 527 Off Pune-Solapur Highway, Swami-Chincholi (Bhigwan), Tal-Daund 
 Pune - 413110 
 Maharashtra ,    India","02117-203183  ,    203184"
"Jayawant Institute of Computer Applications - [JICA], Pune",Private,Estd 2002,nothing,https://images.collegedunia.com/public/college_data/images/appImage/1499254760cccccccccccccccccccccccccccccccaaaaaaaaaa.png?w=1286&h=193&mode=stretch,"Sr. No.80, Pune Mumbai Bypass Highway, Tathawade 
 Pune - 411033 
 Maharashtra ,    India","020-22932601  ,    64103595"
"Sinhgad College of Pharmacy - [SCOP] Vadgaon, Pune",Private,Estd 2000,8.4,https://images.collegedunia.com/public/college_data/images/appImage/150011944814493079064.jpg?w=1286&h=193&mode=stretch,"S.No. 44/1, Vadgaon (Bk.), Off Sinhgad Road 
 Pune - 411041 
 Maharashtra ,    India","020-24354720  ,    24355884  ,    24355038"
"Indira College of Pharmacy - [ICP], Pune",Private,Estd 2006,8.4,https://images.collegedunia.com/public/college_data/images/appImage/1500123287entrancegate.jpg?w=1286&h=193&mode=stretch,"Niramay, S.No. 89/2A,  New Pune Mumbai Highway, Tathwade 
 Pune - 411033 
 Maharashtra ,    India","020-66759601  ,    66759603"
"Sharadchandra Pawar College of Pharmacy - [SPCOP], Pune",Private,Estd 2004,3.7,https://images.collegedunia.com/public/college_data/images/appImage/1500276773p19krimgmo1sde1j4v1rps1ck0epv4.jpg?w=1286&h=193&mode=stretch,"Dumberwadi (Otur), Junnar, N.H. No. 222 
 Pune - 412409 
 Maharashtra ,    India","02132-265729  ,    265730"
"Sitabai Thite College of Pharmacy, Shirur, Pune",Private,Estd 1995,nothing,https://images.collegedunia.com/public/college_data/images/appImage/1500283669banner.jpg?w=1286&h=193&mode=stretch,"Shirur  (Ghodnadi) 
 Pune - 412210 
 Maharashtra ,    India","02138-222680  ,    222688"
"Charak College of Pharmacy & Research - [CCPR] Wagholi, Pune",Private,Estd 2006,8.2,https://images.collegedunia.com/public/college_data/images/appImage/1500293059charakcollegeofpharmacyresearchwagholipune2.jpg?w=1286&h=193&mode=stretch,"Gate No. 720/1&2, Wagholi, Pune-Nagar Road 
 Pune - 412207 
 Maharashtra ,    India","020-67335100  ,    67335103  ,    65101490"
"Marathwada Mitra Mandal's College of Pharmacy - [MMCOP], Pune",Private,Estd 2006,7.1,https://images.collegedunia.com/public/college_data/images/appImage/1500297434marathwadamitramandalscollegeofpharmacythergaonpune11.jpg?w=1286&h=193&mode=stretch,"Sr. No.:4/17, Sector No. 34, PCNTDA, Thergaon, Kalewadi 
 Pune - 411033 
 Maharashtra ,    India",020-64 10 0841
"JSPM's Jayawantrao Sawant College of Pharmacy - [JSCOPR], Pune",Private,Estd 2006,nothing,https://images.collegedunia.com/public/college_data/images/appImage/150035694614544091476PPCrY5EFoeBXKLesqEu.jpg?w=1286&h=193&mode=stretch,"Survey No.58, Handewadi Road, Near Octroi Post,
Hadapsar 
 Pune - 411028 
 Maharashtra ,    India","020-26970565  ,    64005920"
"MIT Arts, Commerce & Science College - [MITACSC], Pune",NAAC,"SPPU, Pune",8.5,https://images.collegedunia.com/public/college_data/images/appImage/1515390158AppNew.jpg?w=1286&h=193&mode=stretch,"Dehu Phata, Alandi (D), Tal. Khed 
 Pune - 412105 
 Maharashtra ,    India",020-30253799
